"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
202,11,32710.8,17187.2,308.9,813.6,24.6,6.6,41.1
203,12,1482.9,2053,131.5,210.5,27.5,7.4,34.7
204,12,5349.6,1278.6,132,334.1,15.7,7.8,24.5
205,12,5344.2,1753.5,165.9,311.5,15.7,7.8,37.6
206,12,6425.5,4066.4,149.6,788.6,29.5,8.7,15.6
207,12,7528.2,8821.2,132,165.9,29.3,5.4,34.2
208,12,9416.2,8072.5,150.6,253.4,30.6,7.6,37.6
209,12,9618.7,1997.9,113.4,387.6,32.8,7.5,16.7
210,12,12452.6,3973.1,127.5,154.6,31.6,8.4,48.1
211,12,13913.5,2776.5,158.5,204.6,29.1,4.6,34.2
212,12,16255.5,7444,114.2,163.1,33.2,8.2,37.5
213,12,19186.5,11965.3,194.7,300.7,27.5,4.9,36.2
214,12,21629,10353.2,136.9,245.5,28,7.7,33.3
215,12,23663.5,10097.7,133.9,145,26.5,6.7,46.2
216,12,25193.3,4863.6,292,647.2,21.3,6.5,45.1
217,12,29833.2,11574.5,152,202.1,31.1,7,43.5
218,12,30680.8,12410.8,123.1,129.5,29.6,6,41
219,12,32747.7,17204.3,181.7,387.1,30.8,6.5,31.4
220,13,1585.4,2004.2,93.3,145.7,31.2,7.9,29.4
221,13,1771.2,4331.5,79.5,123.6,33.1,7.2,25.3
222,13,5341.9,1635.6,175,479.6,31.9,9.1,31.6
223,13,6404.5,4060.3,139.7,788.3,31.5,7.9,13.4
224,13,7490.7,8818.2,302.4,522.3,22.4,5.3,49.3
225,13,7962.2,2916.1,128.9,156.4,30.9,6.6,39.8
226,13,9348.1,8214.4,145.5,190.9,31.6,7.6,45.8
227,13,9612.4,2005.8,142.2,354.4,33.9,7.6,25.7
228,13,9820.4,5003.6,194.8,247.1,26.6,6.1,49.8
229,13,12348.2,3833.4,173.6,292.2,27.2,6.8,38.5
230,13,13527.8,8393.6,157.7,248.8,29.6,6,34.7
231,13,13753.9,2802.3,117.8,134.2,29,6.2,37.9
232,13,16240.6,7600.6,102.9,149.1,30.5,7.1,31
233,13,19256.4,11979,162.5,279.4,28.3,7.1,36.9
234,13,21630,10341.3,180.3,355.6,28.2,6.7,34.1
235,13,28066.5,11590.5,112.2,105.1,27.1,6.2,43.2
236,13,29828.4,11573.9,102.9,212.6,31.3,6.9,22.6
237,13,30762.4,12131.3,77.5,97.1,30.6,7,29.4
238,13,32760.5,17235.1,211.3,486.9,28.2,8.1,39.1
239,14,1638.5,1946.9,256.7,331.9,25.4,6.9,68.3
240,14,1705.7,4164.3,132.5,250.1,31,7.6,30.7
241,14,2490.8,690.4,287,432.1,24.9,7.7,72
242,14,5245.6,1729.6,191,659.9,31,8.9,27.2
243,14,6424.7,4075.6,147.2,833.1,30.8,8.9,14.9
